id,result,status,true_status,transcript,duration,call_status,prompt,is_single_no_answer
200769,проблемы с распознаванием,угроза оттока не подтверждена,,"bot: Добрый день! Компания t2, меня зовут Ольга. Звоню по корпоративному договору, меня хорошо слышно?; human: что вы хотели из какой организации как на точно называется; bot: Компания ""t2"", ваш сотовый оператор. Ранее вы нас знали как ""Теле2"".; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; bot: Алло?; bot: Вас не слышно; bot: Извините, что-то со связью, повторите, пожалуйста.; bot: Какие-то проблемы со связью. Всего вам доброго, до свидания!",54,200 OK,"hello_main, hello_repeat, clarification_main, clarification_main_tail, clarification_null_1, clarification_null_2, clarification_null_3, bad_connection_hangup",True
234559,сброс на предложении,угроза оттока не определена,,"bot: Добрый день! Меня зовут Ольга, корпоративный отдел компании t2. Вам удобно сейчас минуту уделить?; human: все набери пожалуйста да как; bot: У меня один короткий вопрос по вашему договору. Мм…; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; bot: Алло?",26,200 OK,"hello_main, hello_default, clarification_main, clarification_main_tail, clarification_null_1",True
234992,проблемы с распознаванием,угроза оттока не подтверждена,,"bot: Добрый день! Компания t2, меня зовут Ольга. Звоню по корпоративному договору, меня хорошо слышно?; human: да слушаю; bot: Отлично!; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; bot: Алло?; bot: Вас не слышно; bot: Извините, что-то со связью, повторите, пожалуйста.; bot: Какие-то проблемы со связью. Всего вам доброго, до свидания!",48,200 OK,"hello_main, hello_thanks, clarification_main, clarification_main_tail, clarification_null_1, clarification_null_2, clarification_null_3, bad_connection_hangup",True
235752,сброс на предложении,угроза оттока не определена,,"bot: Добрый день! Компания t2, меня зовут Ольга. Звоню по корпоративному договору, меня хорошо слышно?; human: сейчас; bot: У меня один короткий вопрос по вашему договору. Мм…; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; bot: Алло?",29,200 OK,"hello_main, hello_default, clarification_main, clarification_main_tail, clarification_null_1",True
237325,проблемы с распознаванием,угроза оттока не подтверждена,,"bot: Добрый день! Это компания t2, корпоративный отдел, Ольга. Минуту уделите, пожалуйста?; human: добрый день; bot: Отлично!; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; bot: Алло?; bot: Вас не слышно; bot: Извините, что-то со связью, повторите, пожалуйста.; bot: Какие-то проблемы со связью. Всего вам доброго, до свидания!",49,200 OK,"hello_main, hello_thanks, clarification_main, clarification_main_tail, clarification_null_1, clarification_null_2, clarification_null_3, bad_connection_hangup",True
237751,проблемы с распознаванием,угроза оттока не подтверждена,,"bot: Добрый день! Меня зовут Ольга, корпоративный отдел компании t2. Вам удобно сейчас минуту уделить?; human: говорите подождите вы номером не ошиблись; bot: Отлично!; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; bot: Алло?; bot: Вас не слышно; bot: Извините, что-то со связью, повторите, пожалуйста.; bot: Какие-то проблемы со связью. Всего вам доброго, до свидания!",48,200 OK,"hello_main, hello_thanks, clarification_main, clarification_main_tail, clarification_null_1, clarification_null_2, clarification_null_3, bad_connection_hangup",True
245362,сброс на предложении,угроза оттока не определена,,"bot: Добрый день! Корпоративный отдел компании t2, меня зову Ольга. Меня слышно, да?; human: да; bot: Отлично!; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?",18,200 OK,"hello_main, hello_thanks, clarification_main, clarification_main_tail",True
258070,сброс на предложении,угроза оттока не определена,,"bot: Добрый день! Меня зовут Ольга, корпоративный отдел компании t2. Вам удобно сейчас минуту уделить?; bot: Алло, слышно меня?; bot: Аааллооо.; human: говорите; bot: Отлично!; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?",35,200 OK,"hello_main, hello_null_1, hello_null_2, hello_thanks, clarification_main, clarification_main_tail",True
261045,проблемы с распознаванием,угроза оттока не подтверждена,,"bot: Добрый день! Это компания t2, корпоративный отдел, Ольга. Минуту уделите, пожалуйста?; human: кто это; bot: Компания ""t2"", ваш сотовый оператор. Ранее вы нас знали как ""Теле2"".; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; bot: Алло?; bot: Вас не слышно; bot: Извините, что-то со связью, повторите, пожалуйста.; bot: Какие-то проблемы со связью. Всего вам доброго, до свидания!",52,200 OK,"hello_main, hello_repeat, clarification_main, clarification_main_tail, clarification_null_1, clarification_null_2, clarification_null_3, bad_connection_hangup",True
261746,сброс на предложении,угроза оттока не определена,,"bot: Добрый день! Это компания t2, корпоративный отдел, Ольга. Минуту уделите, пожалуйста?; human: что; bot: Компания ""t2"", ваш сотовый оператор. Ранее вы нас знали как ""Теле2"".; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?",23,200 OK,"hello_main, hello_repeat, clarification_main, clarification_main_tail",True
262731,сброс на предложении,угроза оттока не определена,,"bot: Добрый день! Меня зовут Ольга, корпоративный отдел компании t2. Вам удобно сейчас минуту уделить?; human: сейчас никого нет сможет вам переговорить; bot: У меня короткий вопрос по вашему договору, буквально минута.; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; bot: Алло?",33,200 OK,"hello_main, hello_wrong_time, clarification_main, clarification_main_tail, clarification_null_1",True
262883,проблемы с распознаванием,угроза оттока не подтверждена,,"bot: Добрый день! Меня зовут Ольга, корпоративный отдел компании t2. Вам удобно сейчас минуту уделить?; human: слушаю; bot: Отлично!; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; bot: Алло?; bot: Вас не слышно; bot: Извините, что-то со связью, повторите, пожалуйста.; bot: Какие-то проблемы со связью. Всего вам доброго, до свидания!",49,200 OK,"hello_main, hello_thanks, clarification_main, clarification_main_tail, clarification_null_1, clarification_null_2, clarification_null_3, bad_connection_hangup",True
264316,проблемы с распознаванием,угроза оттока не подтверждена,,"bot: Добрый день! Это компания t2, корпоративный отдел, Ольга. Минуту уделите, пожалуйста?; human: да а можете чуть подробнее пожалуйста; bot: Отлично!; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; bot: Алло?; bot: Вас не слышно; bot: Извините, что-то со связью, повторите, пожалуйста.; bot: Какие-то проблемы со связью. Всего вам доброго, до свидания!",46,200 OK,"hello_main, hello_thanks, clarification_main, clarification_main_tail, clarification_null_1, clarification_null_2, clarification_null_3, bad_connection_hangup",True
266071,проблемы с распознаванием,угроза оттока не подтверждена,,"bot: Добрый день! Меня зовут Ольга, корпоративный отдел компании t2. Вам удобно сейчас минуту уделить?; human: честно говоря я вас не расслышал я с кем разговариваю; bot: Компания ""t2"", ваш сотовый оператор. Ранее вы нас знали как ""Теле2"".; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; bot: Алло?; bot: Вас не слышно; bot: Извините, что-то со связью, повторите, пожалуйста.; bot: Какие-то проблемы со связью. Всего вам доброго, до свидания!",53,200 OK,"hello_main, hello_repeat, clarification_main, clarification_main_tail, clarification_null_1, clarification_null_2, clarification_null_3, bad_connection_hangup",True
283336,проблемы с распознаванием,угроза оттока не подтверждена,,"bot: Добрый день! Корпоративный отдел компании t2, меня зову Ольга. Меня слышно, да?; human: здравствуйте; bot: Отлично!; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; bot: Алло?; bot: Вас не слышно; bot: Извините, что-то со связью, повторите, пожалуйста.; bot: Какие-то проблемы со связью. Всего вам доброго, до свидания!",49,200 OK,"hello_main, hello_thanks, clarification_main, clarification_main_tail, clarification_null_1, clarification_null_2, clarification_null_3, bad_connection_hangup",True
395460,сброс на предложении,угроза оттока не определена,,"bot: Добрый день! Меня зовут Ольга, корпоративный отдел компании t2. Вам удобно сейчас минуту уделить?; human: слушаю; bot: Отлично!; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?",18,200 OK,"hello_main, hello_thanks, clarification_main, clarification_main_tail",True
397125,проблемы с распознаванием,угроза оттока не подтверждена,,"bot: Добрый день! Меня зовут Ольга, корпоративный отдел компании t2. Вам удобно сейчас минуту уделить?; human: хорошо скажите а вы с какой целью звоните честно я вас не расслышала а я с кем разговариваю; bot: Компания ""t2"", ваш сотовый оператор. Ранее вы нас знали как ""Теле2"".; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; bot: Алло?; bot: Вас не слышно; bot: Извините, что-то со связью, повторите, пожалуйста.; bot: Какие-то проблемы со связью. Всего вам доброго, до свидания!",53,200 OK,"hello_main, hello_repeat, clarification_main, clarification_main_tail, clarification_null_1, clarification_null_2, clarification_null_3, bad_connection_hangup",True
397655,сброс на предложении,угроза оттока не определена,,"bot: Добрый день! Меня зовут Ольга, корпоративный отдел компании t2. Вам удобно сейчас минуту уделить?; human: нет; bot: У меня короткий вопрос по вашему договору, буквально минута.; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?",18,200 OK,"hello_main, hello_wrong_time, clarification_main, clarification_main_tail",True
430666,сброс на предложении,угроза оттока не определена,,"bot: Добрый день! Это компания t2, корпоративный отдел, Ольга. Минуту уделите, пожалуйста?; human: девушка е слушаю; bot: Отлично!; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?",16,200 OK,"hello_main, hello_thanks, clarification_main, clarification_main_tail",True
565814,сброс на предложении,угроза оттока не определена,,"bot: Добрый день! Корпоративный отдел компании t2, меня зову Ольга. Меня слышно, да?; human: да что вы хотите; bot: У меня короткий вопрос по вашему договору, буквально минута.; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?",23,200 OK,"hello_main, hello_wrong_time, clarification_main, clarification_main_tail",True
829163,проблемы с распознаванием,угроза оттока не подтверждена,,"bot: Добрый день! Компания t2, меня зовут Ольга. Звоню по корпоративному договору, меня хорошо слышно?; human: говорите говорите; bot: Отлично!; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; bot: Алло?; bot: Вас не слышно; bot: Извините, что-то со связью, повторите, пожалуйста.; bot: Какие-то проблемы со связью. Всего вам доброго, до свидания!",48,200 OK,"hello_main, hello_thanks, clarification_main, clarification_main_tail, clarification_null_1, clarification_null_2, clarification_null_3, bad_connection_hangup",True
844741,проблемы с распознаванием,угроза оттока не подтверждена,,"bot: Добрый день! Меня зовут Ольга, корпоративный отдел компании t2. Вам удобно сейчас минуту уделить?; human: как хорошо чтобы час позвонили потом я буду занята уже не отвечу; bot: У меня короткий вопрос по вашему договору, буквально минута.; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; bot: Алло?; bot: Вас не слышно; bot: Извините, что-то со связью, повторите, пожалуйста.; bot: Какие-то проблемы со связью. Всего вам доброго, до свидания!",48,200 OK,"hello_main, hello_wrong_time, clarification_main, clarification_main_tail, clarification_null_1, clarification_null_2, clarification_null_3, bad_connection_hangup",True
