id,result,status,true_status,transcript,duration,call_status,prompt
234757,больше не звонить,негатив клиента от звонка,,"bot: Добрый день! Это компания t2, корпоративный отдел, Ольга. Минуту уделите, пожалуйста?; human: что вы хотели; bot: У меня короткий вопрос по вашему договору, буквально минута.; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; human: оля да отстаньте вы с вашим трафиком снизился значит не значит дела плохи в стране понимаете и у нас тоже и у васс тоже плохие это как как",32,200 OK,"hello_main, hello_wrong_time, clarification_main, clarification_main_tail"
262313,больше не звонить,негатив клиента от звонка,,"bot: Добрый день! Это компания t2, корпоративный отдел, Ольга. Минуту уделите, пожалуйста?; human: слушаю вас; bot: Отлично!; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; human: девушка вы звоните каждый месяц мы пользуемся вашими услугами мы будем продолжать пользоваться; bot: Поняла вас, извините за беспокойство, до свидания!",33,200 OK,"hello_main, hello_thanks, clarification_main, clarification_main_tail, dont_disturb_hangup"
265963,больше не звонить,негатив клиента от звонка,,"bot: Добрый день! Корпоративный отдел компании t2, меня зову Ольга. Меня слышно, да?; human: слышно; bot: Отлично!; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; human: а вам какая разница; bot: Дело в том, что мы по корпоративной связи с вами сотрудничаем и...; bot: Мы видим, что вы стали меньше пользоваться корпоративной связью. Уточните, пожалуйста, планируете ли продолжить пользоваться нашими услугами?; human: вам какое дело; bot: Видим, что корпоративную связь оплачиваете, а пользуетесь сейчас редко. Мм, планируете вернуться к прежней активности?; human: вам какое дело; bot: Отметили, что сейчас вы реже пользуетесь нашими услугами. Скажите, пожалуйста, планируете по корпоративной связи и дальше сотрудничать с нами?; human: понятно роботы нахер вы звоните воткни не звоните больше никогда сюда вообще",66,200 OK,"hello_main, hello_thanks, clarification_main, clarification_main_tail, clarification_dont_want_answer, clarification_default_1, clarification_default_2, clarification_default_3"
395263,больше не звонить,негатив клиента от звонка,,"bot: Добрый день! Компания t2, меня зовут Ольга. Звоню по корпоративному договору, меня хорошо слышно?; human: алло хорошо; bot: Отлично!; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; human: как вы заметили снижение трафика; bot: Мы видим, что вы стали меньше пользоваться корпоративной связью. Уточните, пожалуйста, планируете ли продолжить пользоваться нашими услугами?; human: по какому контракту подождите вы это как контролируете; bot: Мм, мои коллеги заметили, что по вашему договору корпоративной связи снизился трафик. Ну то есть меньше звонков стало совершаться, активность уменьшилась. Поэтому хотим уточнить, планируете ли вы пользоваться нашими услугами дальше?; human: что ли или что вы только что сказали контракт какой контракт; bot: Видим, что корпоративную связь оплачиваете, а пользуетесь сейчас редко. Мм, планируете вернуться к прежней активности?; human: да я вижу я вижу да что ты что я вижу вижу да что ты летел бы пролетом рата блядь; bot: Поняла вас, извините за беспокойство, до свидания!",73,200 OK,"hello_main, hello_thanks, clarification_main, clarification_main_tail, clarification_default_1, clarification_dont_understand_1, clarification_default_2, dont_disturb_hangup"
423208,больше не звонить,негатив клиента от звонка,,"bot: Добрый день! Корпоративный отдел компании t2, меня зову Ольга. Меня слышно, да?; human: не звоните мне",9,200 OK,hello_main
1024317,больше не звонить,негатив клиента от звонка,,"bot: Добрый день! Меня зовут Ольга, корпоративный отдел компании t2. Вам удобно сейчас минуту уделить?; human: алло я же сбрасываю трубку; bot: У меня один короткий вопрос по вашему договору. Мм…; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; human: вы мошенники вс; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; human: ценники вы не отображается по вами не написано что вы теле 2 по вами не написано что вы теле 2 вы мошенник; bot: Я звоню с официального номера компании t2, который можно на сайте проверить. Раньше мы назывались ""Теле2"". У нас с вами корпоративный договор, и я звоню уточнить, мм...; human: я вам объяснил вы мошенники; bot: Мы видим, что вы стали меньше пользоваться корпоративной связью. Уточните, пожалуйста, планируете ли продолжить пользоваться нашими услугами?; bot: Алло?; human: пизда говорю; bot: Поняла вас, извините за беспокойство, до свидания!",60,200 OK,"hello_main, hello_default, clarification_main, clarification_main_tail, clarification_deception, clarification_default_1, clarification_null_1, dont_disturb_hangup"
1056500,больше не звонить,негатив клиента от звонка,,"bot: Добрый день! Компания t2, меня зовут Ольга. Звоню по корпоративному договору, меня хорошо слышно?; human: да; bot: Отлично!; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; human: сейчас минутку сейчас минутку; bot: Слушаю.; bot: Алло?; human: да алло; bot: Вы планируете пользоваться услугами t2 дальше?; human: подскажите пожалуйста вы кому звоните; bot: Угу, а тогда соедините, пожалуйста, с сотрудником, который занимается вопросами корпоративной связи? Ну или номер продиктуйте, я запишу.; human: скажите вы в какую организацию звоните в данный момент; bot: Вы нашим абонентом являетесь, это мобильный оператор t2. Может, есть возможность трубку передать тому, кто занимается вопросами связи? Или хотя бы номер его продиктуйте, пожалуйста.; human: я занимаюсь корпоративной связью я занимаюсь корпоративной связь; bot: Угу, отлично.; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; human: почему вы меня нас беспокоите там; bot: Поняла вас, извините за беспокойство, до свидания!",80,200 OK,"hello_main, hello_thanks, clarification_main, clarification_main_tail, clarification_interruption_1, clarification_null_1, clarification_tail_1, search_mdp_main, search_mdp_who_gave_number, search_mdp_thanks, clarification_main, dont_disturb_hangup"
1060186,больше не звонить,негатив клиента от звонка,,"bot: Добрый день! Это компания t2, корпоративный отдел, Ольга. Минуту уделите, пожалуйста?; human: не звоните мне отдел я не давала вам разрешение на звонки; bot: Поняла вас, извините за беспокойство, до свидания!",14,200 OK,"hello_main, dont_disturb_hangup"
1154877,больше не звонить,негатив клиента от звонка,,"bot: Добрый день! Корпоративный отдел компании t2, меня зову Ольга. Меня слышно, да?; human: что вы хотите ольга; bot: У меня короткий вопрос по вашему договору, буквально минута.; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; human: а вы знаете сегодня бесплатная опасность; bot: Мы видим, что вы стали меньше пользоваться корпоративной связью. Уточните, пожалуйста, планируете ли продолжить пользоваться нашими услугами?; bot: Алло?; human: вы дура; bot: Поняла вас, извините за беспокойство, до свидания!",50,200 OK,"hello_main, hello_wrong_time, clarification_main, clarification_main_tail, clarification_default_1, clarification_null_1, dont_disturb_hangup"
1198309,больше не звонить,негатив клиента от звонка,,"bot: Добрый день! Корпоративный отдел компании t2, меня зову Ольга. Меня слышно, да?; human: здравствуйте дальше пожалуйста побыстрее; bot: Отлично!; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; human: нет я не понимаю дурацкие вопросы мы вам платим; bot: Поняла вас, извините за беспокойство, до свидания!",33,200 OK,"hello_main, hello_thanks, clarification_main, clarification_main_tail, dont_disturb_hangup"
1200893,больше не звонить,негатив клиента от звонка,,"bot: Добрый день! Меня зовут Ольга, корпоративный отдел компании t2. Вам удобно сейчас минуту уделить?; human: добрый день; bot: Отлично!; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; human: ведь уже здоровались; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; human: не звоните; bot: Поняла вас, извините за беспокойство, до свидания!",26,200 OK,"hello_main, hello_thanks, clarification_main, clarification_main_tail, dont_disturb_hangup"
1297185,больше не звонить,негатив клиента от звонка,,"bot: Добрый день! Корпоративный отдел компании t2, меня зову Ольга. Меня слышно, да?; human: да слышно; bot: Отлично!; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; bot: Алло?; human: вы робот или человек; bot: Я только по корпоративной связи звоню уточнить.; bot: Вы планируете пользоваться услугами t2 дальше?; human: вы робот или человек; bot: Хм… Я лишь хочу уточнить у вас, планируете ли вы дальше пользоваться нашими услугами?; human: вы вы робот или человек; bot: Я только по корпоративной связи звоню уточнить.; bot: Планируете ли вы продолжить сотрудничество с нами?; human: вы робот или человек; bot: Хм… Я лишь хочу уточнить у вас, планируете ли вы дальше пользоваться нашими услугами?; human: пошла нахер; bot: Поняла вас, извините за беспокойство, до свидания!",78,200 OK,"hello_main, hello_thanks, clarification_main, clarification_main_tail, clarification_null_1, clarification_robot_1, clarification_tail_1, clarification_robot_2, clarification_robot_1, clarification_tail_2, clarification_robot_2, dont_disturb_hangup"
