id,result,status,true_status,transcript,duration,call_status,prompt
184923,недозвон,недозвон,,,0,486 Busy Here,
185234,недозвон,недозвон,,,0,480 Temporarily Unavailable,
185501,недозвон,недозвон,,,0,486 Busy Here,
185504,недозвон,недозвон,,,0,404 Not Found,
186089,недозвон,недозвон,,,0,480 Temporarily Unavailable,
186165,недозвон,недозвон,,,0,487 Request Terminated,
186357,недозвон,недозвон,,,0,487 Request Terminated,
186590,недозвон,недозвон,,,0,480 Temporarily Unavailable,
200650,недозвон,недозвон,,,0,487 Request Terminated,
200934,недозвон,недозвон,,,0,480 Temporarily Unavailable,
201003,недозвон,недозвон,,,0,480 Temporarily Unavailable,
201197,недозвон,недозвон,,,0,480 Temporarily Unavailable,
201262,недозвон,недозвон,,,0,480 Temporarily Unavailable,
201713,недозвон,недозвон,,,0,480 Temporarily Unavailable,
201771,сброс на приветствии,угроза оттока не определена,,"bot: Добрый день! Корпоративный отдел компании t2, меня зову Ольга. Меня слышно, да?",9,200 OK,hello_main
201905,недозвон,недозвон,,,0,480 Temporarily Unavailable,
202299,недозвон,недозвон,,,0,480 Temporarily Unavailable,
202532,недозвон,недозвон,,,0,480 Temporarily Unavailable,
234352,сброс на приветствии,угроза оттока не определена,,"bot: Добрый день! Это компания t2, корпоративный отдел, Ольга. Минуту уделите, пожалуйста?",5,200 OK,hello_main
234492,недозвон,недозвон,,,0,487 Request Terminated,
234827,недозвон,недозвон,,,0,480 Temporarily Unavailable,
235580,недозвон,недозвон,,,0,480 Temporarily Unavailable,
236201,недозвон,недозвон,,,0,480 Temporarily Unavailable,
236411,недозвон,недозвон,,,0,480 Temporarily Unavailable,
236588,недозвон,недозвон,,,0,480 Temporarily Unavailable,
236874,недозвон,недозвон,,,0,487 Request Terminated,
237560,недозвон,недозвон,,,0,480 Temporarily Unavailable,
237658,недозвон,недозвон,,,0,480 Temporarily Unavailable,
237868,недозвон,недозвон,,,0,480 Temporarily Unavailable,
238197,недозвон,недозвон,,,0,480 Temporarily Unavailable,
238269,недозвон,недозвон,,,0,486 Busy Here,
239517,недозвон,недозвон,,,0,480 Temporarily Unavailable,
239627,недозвон,недозвон,,,0,480 Temporarily Unavailable,
239805,недозвон,недозвон,,,0,480 Temporarily Unavailable,
240279,тишина,недозвон,,"bot: Добрый день! Корпоративный отдел компании t2, меня зову Ольга. Меня слышно, да?; bot: Алло, слышно меня?; bot: Аааллооо.; bot: Что-то вас не слышно, я перезвоню.",28,200 OK,"hello_main, hello_null_1, hello_null_2, start_null_hangup"
240542,недозвон,недозвон,,,0,486 Busy Here,
240609,недозвон,недозвон,,,0,480 Temporarily Unavailable,
240962,недозвон,недозвон,,,0,480 Temporarily Unavailable,
241632,недозвон,недозвон,,,0,480 Temporarily Unavailable,
242541,недозвон,недозвон,,,0,480 Temporarily Unavailable,
245627,недозвон,недозвон,,,0,487 Request Terminated,
247633,недозвон,недозвон,,,0,480 Temporarily Unavailable,
248413,сброс на приветствии,угроза оттока не определена,,"bot: Добрый день! Это компания t2, корпоративный отдел, Ольга. Минуту уделите, пожалуйста?",3,200 OK,hello_main
248707,недозвон,недозвон,,,0,480 Temporarily Unavailable,
251282,недозвон,недозвон,,,0,487 Request Terminated,
252909,недозвон,недозвон,,,0,480 Temporarily Unavailable,
253907,недозвон,недозвон,,,0,480 Temporarily Unavailable,
255879,недозвон,недозвон,,,0,487 Request Terminated,
261637,недозвон,недозвон,,,0,487 Request Terminated,
262166,недозвон,недозвон,,,0,480 Temporarily Unavailable,
262249,недозвон,недозвон,,,0,480 Temporarily Unavailable,
262504,недозвон,недозвон,,,0,404 Not Found,
263238,недозвон,недозвон,,,0,480 Temporarily Unavailable,
263982,недозвон,недозвон,,,0,480 Temporarily Unavailable,
266898,тишина,недозвон,,"bot: Добрый день! Корпоративный отдел компании t2, меня зову Ольга. Меня слышно, да?; bot: Алло, слышно меня?; bot: Аааллооо.; bot: Что-то вас не слышно, я перезвоню.",26,200 OK,"hello_main, hello_null_1, hello_null_2, start_null_hangup"
267411,сброс на приветствии,угроза оттока не определена,,"bot: Добрый день! Меня зовут Ольга, корпоративный отдел компании t2. Вам удобно сейчас минуту уделить?",5,200 OK,hello_main
