id,result,status,true_status,transcript,duration,call_status,prompt
139006,автоответчик,недозвон,,"bot: Добрый день! Это компания t2, корпоративный отдел, Ольга. Минуту уделите, пожалуйста?; human: к сожалению абонент сейчас не может ответить возможно он занят его телефон разрядился",11,200 OK,hello_main
186030,автоответчик,недозвон,,"bot: Добрый день! Это компания t2, корпоративный отдел, Ольга. Минуту уделите, пожалуйста?; human: абонент сейчас не может ответить на ваш звонок его фон выключен или находится вне зоны действия сети",15,200 OK,hello_main
201802,автоответчик,недозвон,,"bot: Добрый день! Корпоративный отдел компании t2, меня зову Ольга. Меня слышно, да?; bot: Алло, слышно меня?; bot: Аааллооо.; human: дело в том что сейчас линия занята у вас срочный вопрос к абоненту",29,200 OK,"hello_main, hello_null_1, hello_null_2"
202343,автоответчик,недозвон,,"bot: Добрый день! Компания t2, меня зовут Ольга. Звоню по корпоративному договору, меня хорошо слышно?; human: оставайтесь на линии",30,200 OK,hello_main
202807,автоответчик Олег,недозвон,,"bot: Добрый день! Это компания t2, корпоративный отдел, Ольга. Минуту уделите, пожалуйста?; human: ну это тоже здоровались опять; bot: У меня один короткий вопрос по вашему договору. Мм…; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; bot: Алло?; bot: Вас не слышно; human: с моей стороны; bot: Мы видим, что вы стали меньше пользоваться корпоративной связью. Уточните, пожалуйста, планируете ли продолжить пользоваться нашими услугами?; human: вас очень приятный голос вы живой человек или робот",49,200 OK,"hello_main, hello_default, clarification_main, clarification_main_tail, clarification_null_1, clarification_null_2, clarification_default_1"
237950,автоответчик Олег,недозвон,,"bot: Добрый день! Корпоративный отдел компании t2, меня зову Ольга. Меня слышно, да?; bot: Алло, слышно меня?; human: поинтересоваться о чем вы хотите рассказать; bot: У меня один короткий вопрос по вашему договору. Мм…; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; human: можете рассказать подробнее я все передам абоненту",37,200 OK,"hello_main, hello_null_1, hello_default, clarification_main, clarification_main_tail"
238240,автоответчик,недозвон,,"bot: Добрый день! Это компания t2, корпоративный отдел, Ольга. Минуту уделите, пожалуйста?; human: к сожалению абонент сейчас не может ответить возможно он занят его телефон разрядился",12,200 OK,hello_main
240155,автоответчик,недозвон,,"bot: Добрый день! Компания t2, меня зовут Ольга. Звоню по корпоративному договору, меня хорошо слышно?; human: к сожалению абонент сейчас не может ответить возможно он занят его телефон разрядился",12,200 OK,hello_main
246919,автоответчик,недозвон,,"bot: Добрый день! Компания t2, меня зовут Ольга. Звоню по корпоративному договору, меня хорошо слышно?; human: приветствует в данный момент номер на который вы звоните находится в свободной если вы хотите приобрести данный номер или узнать больше наших",17,200 OK,hello_main
251231,автоответчик,недозвон,,"bot: Добрый день! Меня зовут Ольга, корпоративный отдел компании t2. Вам удобно сейчас минуту уделить?; human: приветствует в данный момент номер на который вы звоните находится в свободной продаже вы хотите приобрести данный номер или узнать больше о наших",15,200 OK,hello_main
261349,автоответчик,недозвон,,"bot: Добрый день! Корпоративный отдел компании t2, меня зову Ольга. Меня слышно, да?; human: абонент сейчас не может ответить возможно он занят его телефон разрядился",13,200 OK,hello_main
262529,автоответчик,недозвон,,"bot: Добрый день! Это компания t2, корпоративный отдел, Ольга. Минуту уделите, пожалуйста?; human: сейчас не может ответить на ваш звонок его телефон занят попробуйте перезвонить позднее если хотите отправить бесплатное смс с просьбой перезвонить нажмите 1; human: всего доброго",42,200 OK,hello_main
265659,автоответчик,недозвон,,"bot: Добрый день! Корпоративный отдел компании t2, меня зову Ольга. Меня слышно, да?; human: к сожалению абонент сейчас не может ответить возможно он занят его телефон разрядился",12,200 OK,hello_main
393443,автоответчик,недозвон,,"bot: Добрый день! Корпоративный отдел компании t2, меня зову Ольга. Меня слышно, да?; human: к сожалению абонент сейчас не может ответить возможно он занят его телефон разрядился",12,200 OK,hello_main
395536,автоответчик Олег,недозвон,,"bot: Добрый день! Корпоративный отдел компании t2, меня зову Ольга. Меня слышно, да?; human: все записано понимаете сейчас абонент не может принять звонок меня зовут ми и голосовой ассистент давайте я передам от вас что то еще",20,200 OK,hello_main
400672,автоответчик,недозвон,,"bot: Добрый день! Корпоративный отдел компании t2, меня зову Ольга. Меня слышно, да?; human: сейчас не может ответить возможно он занят его телефон разрядился",12,200 OK,hello_main
419362,автоответчик,недозвон,,"bot: Добрый день! Меня зовут Ольга, корпоративный отдел компании t2. Вам удобно сейчас минуту уделить?; human: абонент сейчас не может ответить на ваш звонок его телефонон занят попробуйте перезвонить позднее если хотите отправить бесплатное смс сообщение с просьбой перезвонить нажмите 1; human: спасибо всего доброго",41,200 OK,hello_main
795537,автоответчик,недозвон,,"bot: Добрый день! Корпоративный отдел компании t2, меня зову Ольга. Меня слышно, да?; human: к сожалению абонент сейчас не может ответить возможно он занят его телефон разрядился",12,200 OK,hello_main
797956,автоответчик,недозвон,,"bot: Добрый день! Корпоративный отдел компании t2, меня зову Ольга. Меня слышно, да?; human: абонент сейчас не может ответить на ваш звонок его фон выключен или находится вне зоны действия сети",14,200 OK,hello_main
817235,автоответчик Олег,недозвон,,"bot: Добрый день! Корпоративный отдел компании t2, меня зову Ольга. Меня слышно, да?; bot: Алло, слышно меня?; human: я не знаю говорите вы или нет но я не слышу",25,200 OK,"hello_main, hello_null_1"
842436,автоответчик,недозвон,,"bot: Добрый день! Меня зовут Ольга, корпоративный отдел компании t2. Вам удобно сейчас минуту уделить?; human: абонент сейчас не может ответить на ваш",9,200 OK,hello_main
