id,result,status,true_status,transcript,duration,call_status,prompt
134506,отказ - нет,угроза оттока подтверждена,,"bot: Добрый день! Компания t2, меня зовут Ольга. Звоню по корпоративному договору, меня хорошо слышно?; human: да; bot: Отлично!; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; human: а я это кто вы; bot: Это компания ""t2"", ранее вы нас знали как ""Теле2"".; human: нет а вы филисово; bot: Очень жаль это слышать. Но я уверена, мы сможем исправить сложившуюся ситуацию. Передам информацию вашему менеджеру для детального анализа текущих условий по договору и уточнения потребностей вашего бизнеса. В ближайшее время он с вами свяжется.; bot: Спасибо за уделенное время, хорошего вам дня!",56,200 OK,"hello_main, hello_thanks, clarification_main, clarification_main_tail, clarification_what_company, clarification_objection, final_hangup"
186067,отказ - не устраивает качество услуг,"угроза оттока не определена, требуется уточнение персонального менеджера",,"bot: Добрый день! Это компания t2, корпоративный отдел, Ольга. Минуту уделите, пожалуйста?; human: алло угу; bot: Отлично!; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; human: так у меня ничего этих договоренности 2; bot: Мы видим, что вы стали меньше пользоваться корпоративной связью. Уточните, пожалуйста, планируете ли продолжить пользоваться нашими услугами?; human: у меня нет корпоративной связи т 2; bot: Спасибо, что сообщили. Сожалею, что такое произошло. Я обязательно передам информацию вашему персональному менеджеру, и он свяжется с вами в самое ближайшее время - чтобы решить вопрос.; bot: Спасибо за уделенное время, хорошего вам дня!",65,200 OK,"hello_main, hello_thanks, clarification_main, clarification_main_tail, clarification_default_1, clarification_bill, final_hangup"
186099,отказ - сомневается,угроза оттока подтверждена,,"bot: Добрый день! Корпоративный отдел компании t2, меня зову Ольга. Меня слышно, да?; human: да; bot: Отлично!; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; bot: Алло?; human: с да да; bot: Вы планируете пользоваться услугами t2 дальше?; human: а что не меня заканчиваются; bot: Мы видим, что вы стали меньше пользоваться корпоративной связью. Уточните, пожалуйста, планируете ли продолжить пользоваться нашими услугами?; human: ну пока что думаем еще; bot: Видим, что корпоративную связь оплачиваете, а пользуетесь сейчас редко. Мм, планируете вернуться к прежней активности?; human: ну девушка я же вам сказал мы еще думаем; bot: Думаю, мы сможем предложить вам выгодные условия и развеять сомнения. Я передам вашему персональному менеджеру, чтобы он подобрал для вас подходящие тарифы и услуги. В ближайшее время он свяжется с вами и обязательно поможет.; bot: Спасибо за уделенное время, хорошего вам дня!",85,200 OK,"hello_main, hello_thanks, clarification_main, clarification_main_tail, clarification_null_1, clarification_tail_1, clarification_default_1, clarification_default_2, clarification_to_think, final_hangup"
186587,проблемы с распознаванием,угроза оттока не подтверждена,,"bot: Добрый день! Это компания t2, корпоративный отдел, Ольга. Минуту уделите, пожалуйста?; human: не может ответить можно он занят его разрядился или находится в беззвучном режиме; bot: У меня короткий вопрос по вашему договору, буквально минута.; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; human: вы можете еще сообщение запись будет продолжен; bot: Мы видим, что вы стали меньше пользоваться корпоративной связью. Уточните, пожалуйста, планируете ли продолжить пользоваться нашими услугами?; bot: Алло?; bot: Вас не слышно; bot: Извините, что-то со связью, повторите, пожалуйста.; bot: Какие-то проблемы со связью. Всего вам доброго, до свидания!",70,200 OK,"hello_main, hello_wrong_time, clarification_main, clarification_main_tail, clarification_default_1, clarification_null_1, clarification_null_2, clarification_null_3, bad_connection_hangup"
186735,сброс после приветствия,угроза оттока не определена,,"bot: Добрый день! Меня зовут Ольга, корпоративный отдел компании t2. Вам удобно сейчас минуту уделить?; human: алло",11,200 OK,hello_main
200769,проблемы с распознаванием,угроза оттока не подтверждена,,"bot: Добрый день! Компания t2, меня зовут Ольга. Звоню по корпоративному договору, меня хорошо слышно?; human: что вы хотели из какой организации как на точно называется; bot: Компания ""t2"", ваш сотовый оператор. Ранее вы нас знали как ""Теле2"".; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; bot: Алло?; bot: Вас не слышно; bot: Извините, что-то со связью, повторите, пожалуйста.; bot: Какие-то проблемы со связью. Всего вам доброго, до свидания!",54,200 OK,"hello_main, hello_repeat, clarification_main, clarification_main_tail, clarification_null_1, clarification_null_2, clarification_null_3, bad_connection_hangup"
200889,нет бизнеса,угроза оттока не определена,,"bot: Добрый день! Это компания t2, корпоративный отдел, Ольга. Минуту уделите, пожалуйста?; human: да да; bot: Отлично!; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; human: я закрыла все номера; bot: Поняла вас, извините за беспокойство, до свидания!",25,200 OK,"hello_main, hello_thanks, clarification_main, clarification_main_tail, dont_disturb_hangup"
200990,отказ - уже звонили,угроза оттока не определена,,"bot: Добрый день! Меня зовут Ольга, корпоративный отдел компании t2. Вам удобно сейчас минуту уделить?; human: алло угу да; bot: Отлично!; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; bot: Алло?; human: мне приходила смска алло; bot: Хм, у меня не стоит отметка, что вам уже звонили. Можете, пожалуйста, уточнить, вы планируете продолжать сотрудничество с нами по корпоративной связи?; human: проходила смска там что мне приходило смс приходило мне о том что за каждый номер значит там там 30 рублей да в месяц дополнительная оплата да правильно; bot: Вы планируете пользоваться услугами t2 дальше?",52,200 OK,"hello_main, hello_thanks, clarification_main, clarification_main_tail, clarification_null_1, clarification_already_phoned, clarification_tail_1"
201366,отказ - возражение без конкретики,угроза оттока подтверждена,,"bot: Добрый день! Это компания t2, корпоративный отдел, Ольга. Минуту уделите, пожалуйста?; human: говорите сообщение записано бонент его увидит когда у него будет время если есть; bot: У меня короткий вопрос по вашему договору, буквально минута.; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; human: голосовой ассистент готова записывать; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; human: есть еще какие нибудь детали; bot: Мы видим, что вы стали меньше пользоваться корпоративной связью. Уточните, пожалуйста, планируете ли продолжить пользоваться нашими услугами?; human: как я могу передать абоненту ваше имя; bot: Меня зовут Ольга.; human: пока я тут жду вспомнила что недавно читала о сервисах насе помогают преподавателями учебные планы и повышать детей наука не стоит на месте; bot: Очень жаль это слышать. Но я уверена, мы сможем исправить сложившуюся ситуацию. Передам информацию вашему менеджеру для детального анализа текущих условий по договору и уточнения потребностей вашего бизнеса. В ближайшее время он с вами свяжется.; bot: Спасибо за уделенное время, хорошего вам дня!",80,200 OK,"hello_main, hello_wrong_time, clarification_main, clarification_main_tail, clarification_default_1, clarification_bot_name, clarification_objection, final_hangup"
202906,отказ - не знает,угроза оттока подтверждена,,"bot: Добрый день! Корпоративный отдел компании t2, меня зову Ольга. Меня слышно, да?; human: алло да слушаю вас; bot: Отлично!; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; human: услуга; bot: Мы видим, что вы стали меньше пользоваться корпоративной связью. Уточните, пожалуйста, планируете ли продолжить пользоваться нашими услугами?; human: вот сколько планируем сколько пользуемся только и пользуемся я не могу вам ответить будет больше будет меньше мы пользуемся; bot: У вас будет возможность обговорить условия договора с персональным менеджером, выявить и найти пути решения проблем, если они у вас возникли. Он свяжется с вами в ближайшее время. Надеюсь, вы продолжите сотрудничать с нами.; bot: Спасибо за уделенное время, хорошего вам дня!",59,200 OK,"hello_main, hello_thanks, clarification_main, clarification_main_tail, clarification_default_1, clarification_dont_know, final_hangup"
