id,result,status,true_status,transcript,duration,call_status,prompt,human_text,answer_to_usage,intent,human_full,has_usage,is_true_stay
142294,согласие,угроза оттока не подтверждена,,"bot: Добрый день! Корпоративный отдел компании t2, меня зову Ольга. Меня слышно, да?; human: добрый да; bot: Отлично!; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; human: да; bot: Нам очень приятно, что остаётесь с нами. Если у вас возникнут вопросы, обязательно обращайтесь. Мм…; bot: Спасибо за уделенное время, хорошего вам дня!",33,200 OK,"hello_main, hello_thanks, clarification_main, clarification_main_tail, clarification_not_outflow, final_hangup",добрый да да,да,stay,: добрый да : да,False,True
186095,согласие,угроза оттока не подтверждена,,"bot: Добрый день! Компания t2, меня зовут Ольга. Звоню по корпоративному договору, меня хорошо слышно?; human: да; bot: Отлично!; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; human: а; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; human: угу да; bot: Нам очень приятно, что остаётесь с нами. Если у вас возникнут вопросы, обязательно обращайтесь. Мм…; bot: Спасибо за уделенное время, хорошего вам дня!",31,200 OK,"hello_main, hello_thanks, clarification_main, clarification_main_tail, clarification_not_outflow, final_hangup",да а угу да,угу да,stay,: да : а : угу да,False,True
186402,согласие,угроза оттока не подтверждена,,"bot: Добрый день! Меня зовут Ольга, корпоративный отдел компании t2. Вам удобно сейчас минуту уделить?; human: удобно; bot: Отлично!; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; human: планируем; bot: Нам очень приятно, что остаётесь с нами. Если у вас возникнут вопросы, обязательно обращайтесь. Мм…; bot: Спасибо за уделенное время, хорошего вам дня!",37,200 OK,"hello_main, hello_thanks, clarification_main, clarification_main_tail, clarification_not_outflow, final_hangup",удобно планируем,планируем,stay,: удобно : планируем,True,True
201254,согласие,угроза оттока не подтверждена,,"bot: Добрый день! Меня зовут Ольга, корпоративный отдел компании t2. Вам удобно сейчас минуту уделить?; human: слушаю вас слушаю вас; bot: Отлично!; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; human: планируем пользуемся но не так часто планируем да; bot: Нам очень приятно, что остаётесь с нами. Если у вас возникнут вопросы, обязательно обращайтесь. Мм…; bot: Спасибо за уделенное время, хорошего вам дня!",38,200 OK,"hello_main, hello_thanks, clarification_main, clarification_main_tail, clarification_not_outflow, final_hangup",слушаю вас слушаю вас планируем пользуемся но не так часто планируем да,планируем пользуемся но не так часто планируем да,stay,: слушаю вас слушаю вас : планируем пользуемся но не так часто планируем да,True,True
202009,согласие,угроза оттока не подтверждена,,"bot: Добрый день! Корпоративный отдел компании t2, меня зову Ольга. Меня слышно, да?; human: да; bot: Отлично!; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; human: да планируем; bot: Нам очень приятно, что остаётесь с нами. Если у вас возникнут вопросы, обязательно обращайтесь. Мм…; bot: Спасибо за уделенное время, хорошего вам дня!",32,200 OK,"hello_main, hello_thanks, clarification_main, clarification_main_tail, clarification_not_outflow, final_hangup",да да планируем,да планируем,stay,: да : да планируем,True,True
234007,согласие,угроза оттока не подтверждена,,"bot: Добрый день! Компания t2, меня зовут Ольга. Звоню по корпоративному договору, меня хорошо слышно?; human: слушаю вас; bot: Отлично!; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; human: ну да; bot: Нам очень приятно, что остаётесь с нами. Если у вас возникнут вопросы, обязательно обращайтесь. Мм…; bot: Спасибо за уделенное время, хорошего вам дня!",34,200 OK,"hello_main, hello_thanks, clarification_main, clarification_main_tail, clarification_not_outflow, final_hangup",слушаю вас ну да,ну да,stay,: слушаю вас : ну да,False,True
234767,согласие,угроза оттока не подтверждена,,"bot: Добрый день! Компания t2, меня зовут Ольга. Звоню по корпоративному договору, меня хорошо слышно?; human: алло да хорошо; bot: Отлично!; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; human: так да да я пользуюсь; bot: Нам очень приятно, что остаётесь с нами. Если у вас возникнут вопросы, обязательно обращайтесь. Мм…; bot: Спасибо за уделенное время, хорошего вам дня!",35,200 OK,"hello_main, hello_thanks, clarification_main, clarification_main_tail, clarification_not_outflow, final_hangup",алло да хорошо так да да я пользуюсь,так да да я пользуюсь,stay,: алло да хорошо : так да да я пользуюсь,True,True
235248,согласие,угроза оттока не подтверждена,,"bot: Добрый день! Корпоративный отдел компании t2, меня зову Ольга. Меня слышно, да?; human: слышно; bot: Отлично!; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; human: да конечно; bot: Нам очень приятно, что остаётесь с нами. Если у вас возникнут вопросы, обязательно обращайтесь. Мм…; bot: Спасибо за уделенное время, хорошего вам дня!",35,200 OK,"hello_main, hello_thanks, clarification_main, clarification_main_tail, clarification_not_outflow, final_hangup",слышно да конечно,да конечно,stay,: слышно : да конечно,False,True
237034,согласие,угроза оттока не подтверждена,,"bot: Добрый день! Это компания t2, корпоративный отдел, Ольга. Минуту уделите, пожалуйста?; human: да; bot: Отлично!; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; human: да; bot: Нам очень приятно, что остаётесь с нами. Если у вас возникнут вопросы, обязательно обращайтесь. Мм…; bot: Спасибо за уделенное время, хорошего вам дня!",29,200 OK,"hello_main, hello_thanks, clarification_main, clarification_main_tail, clarification_not_outflow, final_hangup",да да,да,stay,: да : да,False,True
237459,согласие,угроза оттока не подтверждена,,"bot: Добрый день! Компания t2, меня зовут Ольга. Звоню по корпоративному договору, меня хорошо слышно?; human: слышно; bot: Отлично!; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; human: ну мы на входящие работаем; bot: Мы видим, что вы стали меньше пользоваться корпоративной связью. Уточните, пожалуйста, планируете ли продолжить пользоваться нашими услугами?; human: звонки что ли получается да да планируем планируем; bot: Нам очень приятно, что остаётесь с нами. Если у вас возникнут вопросы, обязательно обращайтесь. Мм…; bot: Спасибо за уделенное время, хорошего вам дня!",44,200 OK,"hello_main, hello_thanks, clarification_main, clarification_main_tail, clarification_default_1, clarification_not_outflow, final_hangup",слышно ну мы на входящие работаем звонки что ли получается да да планируем планируем,ну мы на входящие работаем,unclear,: слышно : ну мы на входящие работаем : звонки что ли получается да да планируем планируем,True,True
238067,согласие,угроза оттока не подтверждена,,"bot: Добрый день! Меня зовут Ольга, корпоративный отдел компании t2. Вам удобно сейчас минуту уделить?; human: да; bot: Отлично!; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; human: да да; bot: Нам очень приятно, что остаётесь с нами. Если у вас возникнут вопросы, обязательно обращайтесь. Мм…; bot: Спасибо за уделенное время, хорошего вам дня!",34,200 OK,"hello_main, hello_thanks, clarification_main, clarification_main_tail, clarification_not_outflow, final_hangup",да да да,да да,stay,: да : да да,False,True
238187,согласие,угроза оттока не подтверждена,,"bot: Добрый день! Это компания t2, корпоративный отдел, Ольга. Минуту уделите, пожалуйста?; human: алло давайте что хотели; bot: У меня короткий вопрос по вашему договору, буквально минута.; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; human: угу планируем; bot: Нам очень приятно, что остаётесь с нами. Если у вас возникнут вопросы, обязательно обращайтесь. Мм…; bot: Спасибо за уделенное время, хорошего вам дня!",42,200 OK,"hello_main, hello_wrong_time, clarification_main, clarification_main_tail, clarification_not_outflow, final_hangup",алло давайте что хотели угу планируем,угу планируем,stay,: алло давайте что хотели : угу планируем,True,True
